time 1	time 2	time 3	time 4	time 5	time 6	time 7	time 8	time 9	time 10	R (Ohm)	C (F)	L (H)
1.981E+2	1.962E+2	1.944E+2	1.927E+2	1.913E+2	1.900E+2	1.890E+2	1.882E+2	1.877E+2	1.875E+2	1.000E+0	3.000E-6	5.000E-4
1.981E+2	1.966E+2	1.958E+2	1.959E+2	1.966E+2	1.978E+2	1.991E+2	2.002E+2	2.009E+2	2.011E+2	1.000E+0	3.000E-6	5.000E-5
1.986E+2	1.986E+2	1.991E+2	1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-6	5.000E-6
1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-6	5.000E-7
1.992E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-6	5.000E-8
1.823E+2	1.696E+2	1.647E+2	1.681E+2	1.780E+2	1.916E+2	2.053E+2	2.162E+2	2.221E+2	2.223E+2	1.000E+0	3.000E-7	5.000E-4
1.875E+2	1.987E+2	2.082E+2	1.998E+2	1.916E+2	1.980E+2	2.049E+2	2.001E+2	1.943E+2	1.978E+2	1.000E+0	3.000E-7	5.000E-5
2.011E+2	1.989E+2	1.983E+2	1.991E+2	1.992E+2	1.989E+2	1.989E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-7	5.000E-6
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-7	5.000E-7
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-7	5.000E-8
1.156E+2	1.816E+2	2.275E+2	2.091E+2	1.898E+2	1.941E+2	2.018E+2	2.012E+2	1.983E+2	1.981E+2	1.000E+0	3.000E-8	5.000E-4
2.233E+2	1.990E+2	1.907E+2	2.003E+2	2.019E+2	1.996E+2	1.978E+2	1.989E+2	1.995E+2	1.990E+2	1.000E+0	3.000E-8	5.000E-5
1.941E+2	2.007E+2	1.993E+2	1.987E+2	1.988E+2	1.990E+2	1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-8	5.000E-6
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-8	5.000E-7
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-8	5.000E-8
1.784E+2	1.986E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-9	5.000E-4
1.972E+2	1.988E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-9	5.000E-5
1.996E+2	1.989E+2	1.991E+2	1.989E+2	1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-9	5.000E-6
1.989E+2	1.990E+2	1.989E+2	1.990E+2	1.990E+2	1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-9	5.000E-7
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-9	5.000E-8
1.836E+2	1.978E+2	1.989E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-10	5.000E-4
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-10	5.000E-5
1.989E+2	1.990E+2	1.990E+2	1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-10	5.000E-6
1.991E+2	1.991E+2	1.991E+2	1.991E+2	1.991E+2	1.990E+2	1.990E+2	1.990E+2	1.989E+2	1.989E+2	1.000E+0	3.000E-10	5.000E-7
1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.990E+2	1.000E+0	3.000E-10	5.000E-8
1.982E+2	1.962E+2	1.944E+2	1.928E+2	1.913E+2	1.900E+2	1.890E+2	1.883E+2	1.878E+2	1.876E+2	5.000E-1	3.000E-6	5.000E-4
1.981E+2	1.966E+2	1.959E+2	1.961E+2	1.970E+2	1.984E+2	2.000E+2	2.013E+2	2.022E+2	2.024E+2	5.000E-1	3.000E-6	5.000E-5
1.986E+2	1.991E+2	1.999E+2	1.997E+2	1.993E+2	1.993E+2	1.996E+2	1.996E+2	1.994E+2	1.994E+2	5.000E-1	3.000E-6	5.000E-6
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-6	5.000E-7
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-6	5.000E-8
1.823E+2	1.696E+2	1.648E+2	1.683E+2	1.784E+2	1.922E+2	2.062E+2	2.174E+2	2.234E+2	2.235E+2	5.000E-1	3.000E-7	5.000E-4
1.877E+2	1.977E+2	2.095E+2	2.016E+2	1.911E+2	1.972E+2	2.066E+2	2.018E+2	1.936E+2	1.972E+2	5.000E-1	3.000E-7	5.000E-5
2.024E+2	1.988E+2	1.980E+2	1.993E+2	2.003E+2	1.997E+2	1.991E+2	1.995E+2	1.997E+2	1.995E+2	5.000E-1	3.000E-7	5.000E-6
1.994E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-7	5.000E-7
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-7	5.000E-8
1.156E+2	1.823E+2	2.283E+2	2.097E+2	1.901E+2	1.945E+2	2.023E+2	2.017E+2	1.988E+2	1.986E+2	5.000E-1	3.000E-8	5.000E-4
2.244E+2	1.995E+2	1.902E+2	1.987E+2	2.032E+2	1.995E+2	1.980E+2	1.996E+2	2.001E+2	1.994E+2	5.000E-1	3.000E-8	5.000E-5
1.933E+2	2.023E+2	1.995E+2	1.990E+2	1.997E+2	1.997E+2	1.996E+2	1.996E+2	1.994E+2	1.995E+2	5.000E-1	3.000E-8	5.000E-6
1.997E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-8	5.000E-7
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-8	5.000E-8
1.881E+2	1.993E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-9	5.000E-4
1.976E+2	1.994E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-9	5.000E-5
2.002E+2	1.996E+2	1.994E+2	1.996E+2	1.994E+2	1.996E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-9	5.000E-6
1.994E+2	1.995E+2	1.994E+2	1.995E+2	1.995E+2	1.996E+2	1.996E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-9	5.000E-7
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-9	5.000E-8
1.832E+2	1.982E+2	1.994E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-10	5.000E-4
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-10	5.000E-5
1.994E+2	1.995E+2	1.995E+2	1.996E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-10	5.000E-6
1.994E+2	1.994E+2	1.994E+2	1.994E+2	1.994E+2	1.994E+2	1.994E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-10	5.000E-7
1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	1.995E+2	5.000E-1	3.000E-10	5.000E-8
1.982E+2	1.962E+2	1.944E+2	1.928E+2	1.913E+2	1.900E+2	1.890E+2	1.883E+2	1.878E+2	1.877E+2	2.000E-1	3.000E-6	5.000E-4
1.981E+2	1.967E+2	1.960E+2	1.962E+2	1.972E+2	1.988E+2	2.006E+2	2.021E+2	2.031E+2	2.032E+2	2.000E-1	3.000E-6	5.000E-5
1.987E+2	1.994E+2	2.006E+2	2.001E+2	1.992E+2	1.995E+2	2.003E+2	2.001E+2	1.994E+2	1.996E+2	2.000E-1	3.000E-6	5.000E-6
1.999E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-6	5.000E-7
1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-6	5.000E-8
1.827E+2	1.698E+2	1.649E+2	1.682E+2	1.783E+2	1.922E+2	2.065E+2	2.178E+2	2.241E+2	2.243E+2	2.000E-1	3.000E-7	5.000E-4
1.877E+2	1.984E+2	2.104E+2	2.017E+2	1.905E+2	1.976E+2	2.079E+2	2.022E+2	1.928E+2	1.973E+2	2.000E-1	3.000E-7	5.000E-5
2.032E+2	1.993E+2	1.973E+2	1.998E+2	2.017E+2	2.004E+2	1.985E+2	1.991E+2	2.006E+2	2.002E+2	2.000E-1	3.000E-7	5.000E-6
1.994E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-7	5.000E-7
1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-7	5.000E-8
1.157E+2	1.827E+2	2.288E+2	2.100E+2	1.903E+2	1.947E+2	2.026E+2	2.021E+2	1.990E+2	1.989E+2	2.000E-1	3.000E-8	5.000E-4
2.253E+2	1.961E+2	1.898E+2	2.007E+2	2.037E+2	1.987E+2	1.983E+2	2.004E+2	2.004E+2	1.995E+2	2.000E-1	3.000E-8	5.000E-5
