Bpeak [T]	Hpeak [A/m]	P [W/kg]
1.03E-03	1.77E+00	4.21E-06
2.08E-03	3.03E+00	2.20E-05
4.91E-03	5.55E+00	1.30E-04
1.02E-02	9.08E+00	4.89E-04
2.00E-02	1.45E+01	1.53E-03
5.00E-02	2.75E+01	7.22E-03
9.98E-02	4.53E+01	2.41E-02
1.89E-01	7.55E+01	7.16E-02
2.81E-01	1.10E+02	1.37E-01
3.72E-01	1.49E+02	2.17E-01
4.64E-01	1.93E+02	3.11E-01
5.54E-01	2.42E+02	4.18E-01
6.43E-01	2.97E+02	5.39E-01
7.30E-01	3.57E+02	6.70E-01
8.19E-01	4.28E+02	8.20E-01
9.03E-01	5.05E+02	9.73E-01
9.83E-01	5.94E+02	1.14E+00
1.06E+00	7.09E+02	1.31E+00
1.12E+00	8.49E+02	1.47E+00
1.18E+00	1.07E+03	1.64E+00
1.22E+00	1.36E+03	1.77E+00
1.25E+00	1.62E+03	1.85E+00
